date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:13	173/173	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Mar%202024%2010:31:14%20GMT	https://www.tutorialesprogramacionya.com/robots.txt		(from )
11:31:13	12560/12560	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:14%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/index.html	(from )
11:31:20	178378/178378	---M--	200	added ('OK')	text/javascript	etag:2806278825028586682	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:20	3059/3059	---M--	200	added ('OK')	text/css	etag:%22bf3-566d153837fec%22	https://www.tutorialesprogramacionya.com/javascriptya/principal.css	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/principal.css	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:20	55969/55969	---M--	200	added ('OK')	text/javascript	etag:%224ae05de82f6789c5%22	https://apis.google.com/js/plusone.js	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/apis.google.com/js/plusone.js	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:20	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.google-analytics.com/analytics.js	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:22	142/142	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2018%20Mar%202024%2010:31:23%20GMT	http://www.tutorialesprogramacionya.com/javascriptya/nodejsya/	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/nodejsya/index.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:22	5309/5309	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:23%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/temarios/descripcion.php?inicio=0&cod=1	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/temarios/descripciond0e5.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:23	1160/1160	---M--	200	added ('OK')	image/gif	etag:%22488-536bfc49de3fd%22	https://www.tutorialesprogramacionya.com/javascriptya/imagenes/ejecucion.gif	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/imagenes/ejecucion.gif	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:23	8216/8216	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:25%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/temarios/descripcion.php?inicio=0&cod=2	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/temarios/descripcion2dbc.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:23	5201/5201	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:25%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/simulador/simulador.php?cod=2&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/simulador/simulador0732.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:23	944/944	---M--	200	added ('OK')	image/gif	etag:%223b0-536bfc4a88384%22	https://www.tutorialesprogramacionya.com/javascriptya/imagenes/lupa.gif	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/imagenes/lupa.gif	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:24	6776/6776	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:26%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/problemas/problema.php?cod=2&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/problemas/problema0732.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:24	1296/1296	---M--	200	added ('OK')	image/gif	etag:%22510-536bfc4a24b74%22	https://www.tutorialesprogramacionya.com/javascriptya/imagenes/examen.gif	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/imagenes/examen.gif	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:24	9376/9376	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:26%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/temarios/descripcion.php?inicio=0&cod=3	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/temarios/descripcionac17.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:25	5515/5515	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:26%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/simulador/simulador.php?cod=3&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/simulador/simulador9778.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:25	6763/6763	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:27%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/problemas/problema.php?cod=3&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/problemas/problema9778.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:25	6076/6076	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:27%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/temarios/descripcion.php?inicio=0&cod=4	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/temarios/descripcion4d15.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:25	5504/5504	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:27%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/simulador/simulador.php?cod=4&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/simulador/simulador7c9b.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:26	6845/6845	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:27%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/problemas/problema.php?cod=4&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/problemas/problema7c9b.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:26	7190/7190	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:28%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/temarios/descripcion.php?inicio=0&cod=5	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/temarios/descripcion5c05.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:26	5656/5656	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:28%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/simulador/simulador.php?cod=5&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/simulador/simulador3dde.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:26	10000/10000	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:28%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/problemas/problema.php?cod=5&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/problemas/problema3dde.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:27	8800/8800	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:28%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/temarios/descripcion.php?inicio=0&cod=6	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/temarios/descripcione32a.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:27	5446/5446	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:29%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/simulador/simulador.php?cod=6&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/simulador/simuladorcba4.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:27	8051/8051	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:29%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/problemas/problema.php?cod=6&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/problemas/problemacba4.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:27	6566/6566	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:29%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/temarios/descripcion.php?inicio=0&cod=7	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/temarios/descripcionceb7.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:28	5517/5517	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:29%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/simulador/simulador.php?cod=7&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/simulador/simulador8b92.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:28	9257/9257	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:30%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/problemas/problema.php?cod=7&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/problemas/problema8b92.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:28	6969/6969	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:30%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/temarios/descripcion.php?inicio=0&cod=8	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/temarios/descripcion3f19.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:29	5841/5841	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:30%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/simulador/simulador.php?cod=8&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/simulador/simulador9830.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:29	10468/10468	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:31%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/problemas/problema.php?cod=8&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/problemas/problema9830.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:29	7135/7135	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:31%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/temarios/descripcion.php?inicio=0&cod=9	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/temarios/descripcion9c0a.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:29	5820/5820	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:31%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/simulador/simulador.php?cod=9&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/simulador/simuladora8ab.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:30	11775/11775	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:31%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/problemas/problema.php?cod=9&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/problemas/problemaa8ab.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:30	6015/6015	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:32%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/temarios/descripcion.php?inicio=0&cod=10	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/temarios/descripcion3d65.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:30	5538/5538	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:32%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/simulador/simulador.php?cod=10&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/simulador/simuladordb0a.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:30	6955/6955	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:32%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/problemas/problema.php?cod=10&inicio=0	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/problemas/problemadb0a.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:31	12473/12473	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:33%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/index.php?inicio=10	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/index4231.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:31	12583/12583	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:33%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/index.php?inicio=20	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/index28fa.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:31	12349/12349	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:33%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/index.php?inicio=30	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/index7732.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:31	12520/12520	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:33%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/index.php?inicio=40	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/index1e61.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:32	12320/12320	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:34%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/index.php?inicio=50	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/indexefd7.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
11:31:32	12224/12224	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2010:31:34%20GMT	https://www.tutorialesprogramacionya.com/javascriptya/index.php?inicio=60	C:/Users/jacobo/Desktop/misc/javascript%20CURSO%202/CURSO_JS2_JSYA/www.tutorialesprogramacionya.com/javascriptya/indexd6cc.html	(from https://www.tutorialesprogramacionya.com/javascriptya/)
